area_code,country,state,city
201,"United States","New Jersey","Jersey City"
202,"United States","District of Columbia","(All Locations)"
203,"United States",Connecticut,"Waterbury, New Haven, Bridgeport, Stamford"
204,Canada,Manitoba,"(All Locations)"
205,"United States",Alabama,"Montgomery, Selma, Jackson"
206,"United States",Washington,Seattle
207,"United States",Maine,"(All Locations)"
208,"United States",Idaho,"(All Locations)"
209,"United States",California,"Stockton, Merced"
210,"United States",Texas,"San Antonio"
212,"United States","New York","New York"
213,"United States",California,"Los Angeles"
214,"United States",Texas,Dallas
215,"United States",Pennsylvania,Philadelphia
216,"United States",Ohio,Cleveland
217,"United States",Illinois,"Springfield, Decatur, Champaign"
218,"United States",Minnesota,"Duluth, Brainerd, Grand Rapids, International Falls"
219,"United States",Indiana,"Fort Wayne, South Bend, Gary"
225,"United States",Louisiana,"Baton Rouge, New Roads"
228,"United States",Mississippi,"Gulfport, Pascagoula"
229,"United States",Georgia,"Albany, Americus, Bainbridge, Valdosta"
231,"United States",Michigan,"Traverse City, Muskegon, Ludington"
234,"United States",Ohio,"Akron, Canton, Youngstown"
240,"United States",Maryland,"Frederick, Hagerstown, Cumberland"
242,"The Bahamas","(All Locations)","(All Locations)"
246,Barbados,"(All Locations)","(All Locations)"
248,"United States",Michigan,Troy
250,Canada,"British Columbia","non-Vancouver area"
252,"United States","North Carolina","Greenville, Kitty Hawk"
253,"United States",Washington,Tacoma
254,"United States",Texas,"Waco, Killeen"
256,"United States",Alabama,Huntsville
262,"United States",Wisconsin,"Racine, West Bend"
264,Anguilla,"(All Locations)","(All Locations)"
267,"United States",Pennsylvania,Philadelphia
268,"Antigua and Barbuda","(All Locations)","(All Locations)"
270,"United States",Kentucky,"Paducah, Bowling Green, Owensboro"
281,"United States",Texas,Houston
284,"British Virgin Islands","(All Locations)","(All Locations)"
301,"United States",Maryland,"Frederick, Hagerstown, Cumberland"
302,"United States",Delaware,"(All Locations)"
303,"United States",Colorado,"Denver, Boulder"
304,"United States","West Virginia","(All Locations)"
305,"United States",Florida,"Miami, Key West"
306,Canada,Saskatchewan,"(All Locations)"
307,"United States",Wyoming,"(All Locations)"
308,"United States",Nebraska,"Scottsbluff, North Platte"
309,"United States",Illinois,"Moline, Peoria"
310,"United States",California,"West Los Angeles, Torrance, Malibu"
312,"United States",Illinois,Chicago
313,"United States",Michigan,Detroit
314,"United States",Missouri,"Saint Louis"
315,"United States","New York","Syracuse, Utica, Watertown"
316,"United States",Kansas,"Wichita, Parsons, Great Bend"
317,"United States",Indiana,Indianapolis
318,"United States",Louisiana,"Shreveport, Monroe, Alexandria"
319,"United States",Iowa,"Dubuque, Davenport, Iowa City, Burlington"
320,"United States",Minnesota,"Saint Cloud, Morris, Hutchinson"
321,"United States",Florida,Orlando
323,"United States",California,"Los Angeles"
330,"United States",Ohio,"Akron, Canton, Youngstown"
334,"United States",Alabama,"Birmingham, Tuscaloosa"
